12506,6,4,7,47,35,0,19,35,31,6,26,41
12229,1,7,6,17,2,17,4,31,16,16,5,0
12575,5,4,3,23,22,5,30,31,14,31,2,25
12741,5,7,2,49,38,35,31,36,11,5,15,49
12810,1,4,2,5,31,14,50,26,20,49,49,19
12088,7,8,4,39,6,34,30,39,33,31,5,12
12278,1,4,7,12,44,7,45,23,32,29,40,40
12582,2,6,7,9,25,38,41,12,23,26,49,8
12820,2,4,3,17,32,48,49,40,8,44,28,45
12651,1,9,7,47,27,41,0,0,23,44,24,6
12132,7,9,6,16,43,20,33,15,17,33,32,18
12696,1,3,2,3,31,47,47,13,13,23,29,19
12323,3,4,5,2,31,30,41,50,11,38,1,13
12065,6,5,1,7,17,19,16,8,3,5,24,9
12477,2,8,4,39,50,38,25,29,37,43,26,4
12361,4,2,5,11,30,34,50,30,0,26,40,24
12111,8,9,4,9,30,17,27,31,35,3,35,8
12774,6,7,5,32,44,49,5,24,19,37,38,30
12459,1,7,5,32,7,6,31,39,31,9,19,41
12236,3,6,7,8,6,35,3,37,9,48,48,34
12426,9,4,1,39,2,3,46,8,47,6,48,48
12749,4,6,2,25,26,11,29,47,16,20,27,24
12018,8,6,3,10,25,5,48,16,48,17,6,44
12367,3,1,8,42,11,1,35,25,46,12,30,32
12451,9,5,3,22,33,2,37,32,0,1,48,10
12793,9,4,6,36,11,4,8,7,18,4,11,30
12292,5,6,9,8,7,38,4,29,10,18,37,0
12324,3,9,6,40,47,38,23,10,18,25,18,0
12556,1,6,5,43,42,33,46,1,7,22,41,35
12344,6,7,3,44,3,30,33,50,46,48,9,4
12288,7,6,3,49,13,46,23,10,34,25,22,24
12405,1,8,3,9,42,26,36,32,13,41,33,40
12312,6,3,2,35,33,4,7,14,9,25,38,50
12150,6,9,5,8,50,36,4,41,24,15,45,45
12754,2,4,9,47,14,35,8,31,2,14,21,37
12029,9,4,7,48,4,5,48,42,16,26,15,19
12387,8,9,2,37,48,20,29,48,38,0,38,17
12433,1,2,8,29,23,45,16,23,2,0,6,43
12265,9,8,3,5,23,9,40,6,36,13,11,24
12746,7,6,5,7,10,13,39,30,6,17,39,26
12602,7,4,6,13,0,26,50,44,15,12,2,26
12779,7,3,1,28,9,23,23,9,32,32,16,47
12796,2,1,6,46,1,34,7,5,6,42,6,46
12389,1,2,5,24,39,16,32,34,3,16,18,4
12784,8,5,3,16,10,21,40,12,6,22,28,19
12531,1,7,4,12,16,44,27,29,23,36,42,44
12155,2,7,5,21,25,9,28,45,32,8,12,10
12221,1,2,9,42,10,16,23,29,26,39,47,0
12471,1,9,2,10,44,41,43,21,13,19,11,28
12807,3,8,9,41,12,35,49,5,12,33,4,47
12346,2,6,5,7,35,21,41,5,6,27,7,31
12147,7,3,4,16,36,27,6,36,42,50,32,33
12643,7,3,4,10,40,16,22,34,30,0,42,20
12010,7,1,5,18,24,32,31,25,7,11,45,5
12041,1,6,3,4,1,38,26,21,26,29,31,19
12100,5,6,7,2,28,38,11,28,34,17,47,42
12192,6,1,8,1,34,0,23,19,9,31,14,4
12518,3,8,4,32,27,32,46,22,2,26,4,35
12178,6,7,1,33,48,1,3,11,8,15,31,8
12629,9,6,3,6,36,14,23,33,0,43,24,40
12432,3,5,7,3,0,13,7,17,50,3,20,10
12321,5,8,1,42,45,12,34,42,41,0,16,13
12482,7,4,1,22,15,29,37,22,24,29,7,41
12247,2,8,3,7,1,34,2,14,10,49,43,17
12141,6,4,9,25,40,42,1,33,28,31,26,49
12202,4,3,5,20,23,44,8,6,11,12,30,45
12172,1,3,5,26,38,3,32,3,46,30,22,45
12008,1,5,7,48,42,27,42,8,6,44,39,11
12548,8,6,9,1,13,46,29,0,26,6,45,5
12028,9,8,3,19,42,9,45,35,34,27,32,35
12492,2,1,8,42,9,11,41,7,29,36,6,39
12362,7,6,5,28,44,5,20,47,33,34,22,33
12648,8,3,9,7,13,36,32,29,5,27,40,44
12500,3,5,9,24,47,3,10,44,15,11,15,50
12374,3,2,4,9,28,38,40,46,12,0,13,41
12249,9,5,2,1,18,25,33,37,24,34,29,17
12056,6,7,5,21,12,16,46,48,42,2,31,32
12108,1,2,5,25,13,29,0,19,23,26,37,16
12044,6,7,3,30,15,18,37,23,6,50,26,7
12214,1,7,8,50,40,49,33,22,4,15,11,1
12537,5,2,9,34,14,24,35,13,12,42,4,20
12509,6,5,8,43,39,26,46,50,9,43,9,27
12702,8,6,1,34,43,29,15,49,39,9,42,46
12350,3,6,1,47,33,1,35,0,39,12,41,11
12490,9,7,4,7,22,27,4,0,20,12,16,50
12030,7,9,4,15,4,9,6,45,26,16,16,13
12578,3,2,7,20,31,47,40,37,43,46,47,47
12431,3,4,2,29,33,32,2,49,10,15,25,36
12600,7,1,2,8,15,20,21,48,11,16,31,14
12798,7,8,6,15,18,1,20,15,24,3,15,24
12571,6,4,7,23,43,37,44,32,24,7,40,18
12794,2,4,5,17,34,31,24,32,50,30,45,40
12235,2,4,7,9,14,5,12,40,22,36,0,2
12309,8,7,2,12,9,27,21,31,49,6,14,31
12107,6,4,1,6,26,44,47,30,47,4,46,39
12061,5,4,2,18,10,20,7,48,30,26,35,37
12589,2,8,6,12,50,3,18,28,12,12,38,29
12700,7,1,6,5,11,16,4,43,50,10,1,4
12262,3,9,6,25,32,40,11,37,19,3,14,46
12185,2,7,3,24,13,35,34,17,35,25,17,45
